Bandeira;Unidadefederativa;Abreviação;Sededegoverno;Área(km²);População(Censo2022);Densidade(2005);PIB(2015);(%total)(2015);PIBpercapita(R$)(2015);IDH(2010);Alfabetização(2016);Mortalidadeinfantil(2016);Expectativadevida(2016)
;Acre;AC;RioBranco;164122,2;830018;4,3;13622000;0,2; R$ 16.953,46 ;0,663;86,90%;1,70%;73,9anos
;Alagoas;AL;Maceió;27767,7;3127683;108,61;46364000;0,8; R$ 13.877,53 ;0,631;80,60%;1,95%;71,6anos
;Amapá;AP;Macapá;142814,6;733759;4,16;13861000;0,2; R$ 18.079,54 ;0,708;95%;2,32%;73,9anos
;Amazonas;AM;Manaus;1570745,7;3941613;2,05;86560000;1,4; R$ 21.978,95 ;0,674;93,10%;1,82%;71,9anos
;Bahia;BA;Salvador;564692,7;14141626;24,46;245025000;4,1; R$ 16.115,89 ;0,66;87%;1,73%;73,5anos
;Ceará;CE;Fortaleza;148825,6;8794957;54,4;130621000;2,2; R$ 14.669,14 ;0,682;84,80%;1,44%;73,8anos
;DistritoFederal;DF;Brasília;5822,1;2817381;400,73;215613000;3,6; R$ 73.971,05 ;0,824;97,40%;1,05%;78,1anos
;EspíritoSanto;ES;Vitória;46077,5;3833712;73,97;120363000;2; R$ 30.627,45 ;0,74;93,80%;0,88%;78,2anos
;Goiás;GO;Goiânia;340086,7;7056495;16,52;173632000;2,9; R$ 26.265,32 ;0,735;93,50%;1,49%;74,2anos
;Maranhão;MA;SãoLuís;331983,3;6755805;18,38;78475000;1,3; R$ 11.366,23 ;0,639;83,30%;2,13%;70,6anos
;MatoGrosso;MT;Cuiabá;903357,9;3658649;3,1;107418000;1,8; R$ 32.894,96 ;0,725;93,50%;1,69%;74,2anos
;MatoGrossodoSul;MS;CampoGrande;357125;2757013;6,34;83082000;1,4; R$ 31.337,22 ;0,729;93,70%;1,40%;75,5anos
;MinasGerais;MG;BeloHorizonte;586528,3;20539989;32,79;519326000;8,7; R$ 24.884,94 ;0,731;93,80%;1,09%;77,2anos
;Pará;PA;Belém;1247689,5;8121025;5,58;130883000;2,2; R$ 16.009,98 ;0,646;90,70%;1,66%;72,1anos
;Paraíba;PB;JoãoPessoa;56439,8;3974687;63,71;56140000;0,9; R$ 14.133,32 ;0,658;83,70%;1,61%;73,2anos
;Paraná;PR;Curitiba;199314,9;11444380;51,48;376960000;6,3; R$ 33.768,62 ;0,749;95,50%;0,93%;77,1anos
;Pernambuco;PE;Recife;98311,6;9058931;85,58;156955000;2,6; R$ 16.795,34 ;0,673;87,20%;1,27%;73,9anos
;Piauí;PI;Teresina;251529,2;3271199;11,95;39148000;0,7; R$ 12.218,51 ;0,646;82,80%;1,91%;71,1anos
;RiodeJaneiro;RJ;RiodeJaneiro;43696,1;16055174;352,05;659137000;11; R$ 39.826,95 ;0,761;97,30%;1,15%;76,2anos
;RioGrandedoNorte;RN;Natal;52796,8;3302729;56,88;57250000;1; R$ 16.631,86 ;0,684;85,30%;1,47%;75,7anos
;RioGrandedoSul;RS;PortoAlegre;281748,5;11882965;38,49;381985000;6,4; R$ 33.960,36 ;0,746;96,80%;0,96%;77,8anos
;Rondônia;RO;PortoVelho;237576,2;1581196;6,46;36563000;0,6; R$ 20.677,95 ;0,69;93,30%;2,00%;71,3anos
;Roraima;RR;BoaVista;224299;636707;1,74;10354000;0,2; R$ 20.476,71 ;0,707;93,40%;1,72%;71,5anos
;SantaCatarina;SC;Florianópolis;95346,2;7610361;61,53;249073000;4,2; R$ 36.525,28 ;0,774;97,20%;0,92%;79,1anos
;SãoPaulo;SP;SãoPaulo;248209,4;44411238;162,93;1939890000;32,4; R$ 43.694,68 ;0,783;97,20%;0,99%;78,1anos
;Sergipe;SE;Aracaju;21910,3;2210004;89,81;38554000;0,6; R$ 17.189,28 ;0,665;85,30%;1,62%;72,7anos
;Tocantins;TO;Palmas;277620,9;1511460;4,7;28930000;0,5; R$ 19.094,16 ;0,699;89,60%;1,58%;73,4anos
